47884340	47877200
47888636	47872904
47892876	47868664
47896631	47864909
47897046	47864494
47897735	47863805
47903550	47857990
47905057	47856483
47908000	47853540
47914083	47847457
47915892	47845648
47915936	47845604
47917019	47844521
47917817	47843723
47917968	47843572
47928518	47833022
47928686	47832854
47934085	47827455
47937784	47823756
47939030	47822510
47940163	47821377
47941982	47819558
47944224	47817316
47945804	47815736
47945949	47815591
47947162	47814378
47952566	47808974
47953213	47808327
47958172	47803368
47960578	47800962
47962085	47799455
47964192	47797348
47965752	47795788
47966196	47795344
47968688	47792852
47973724	47787816
47974254	47787286
47976168	47785372
47979926	47781614
47983843	47777697
47984750	47776790
47990328	47771212
47991004	47770536
47991263	47770277
47991315	47770225
47992672	47768868
47993530	47768010
47995574	47765966
47998007	47763533
47998315	47763225
47998583	47762957
48000614	47760926
48002372	47759168
48002431	47759109
48005206	47756334
48005826	47755714
48010193	47751347
48012747	47748793
48014037	47747503
48018220	47743320
48018962	47742578
48019502	47742038
48019520	47742020
48021028	47740512
48021154	47740386
48022202	47739338
48027842	47733698
48030208	47731332
48031981	47729559
48034412	47727128
48036637	47724903
48038926	47722614
48040636	47720904
48041744	47719796
48044112	47717428
48047132	47714408
48053257	47708283
48053821	47707719
48053850	47707690
48053936	47707604
48056904	47704636
48056938	47704602
48060397	47701143
48066371	47695169
48068156	47693384
48070582	47690958
48077723	47683817
48078892	47682648
48079960	47681580
48080142	47681398
48084131	47677409
48085048	47676492
48092449	47669091
48096862	47664678
48099152	47662388
48099720	47661820
48105832	47655708
48105866	47655674
48110832	47650708
48111200	47650340
48115564	47645976
48115844	47645696
48116556	47644984
48119201	47642339
48119499	47642041
48120541	47640999
48121829	47639711
48122678	47638862
48126189	47635351
48126565	47634975
48129090	47632450
48129849	47631691
48130484	47631056
48131248	47630292
48131938	47629602
48133360	47628180
48141064	47620476
48142901	47618639
48145504	47616036
48147179	47614361
48147270	47614270
48148932	47612608
48149743	47611797
48154554	47606986
48154810	47606730
48154923	47606617
48157670	47603870
48160130	47601410
48160290	47601250
48160709	47600831
48165049	47596491
48165769	47595771
48169581	47591959
48175836	47585704
48180247	47581293
48181771	47579769
48184157	47577383
48185892	47575648
48186115	47575425
48186470	47575070
48186833	47574707
48186911	47574629
48191572	47569968
48193315	47568225
48196149	47565391
48202017	47559523
48202782	47558758
48203612	47557928
48203986	47557554
48205119	47556421
48207983	47553557
48209038	47552502
48212983	47548557
48217817	47543723
48219136	47542404
48222104	47539436
48222490	47539050
48224799	47536741
48224905	47536635
48227892	47533648
48229253	47532287
48235437	47526103
48236220	47525320
48239263	47522277
48242455	47519085
48242695	47518845
48245235	47516305
48245309	47516231
48245378	47516162
48247149	47514391
48256783	47504757
48261870	47499670
48270460	47491080
48272669	47488871
48274858	47486682
48275518	47486022
48276485	47485055
48277727	47483813
48278676	47482864
48284044	47477496
48284225	47477315
48289832	47471708
48293077	47468463
48294667	47466873
48296068	47465472
48302591	47458949
48303727	47457813
48306522	47455018
48307422	47454118
48308878	47452662
48311374	47450166
48311651	47449889
48311693	47449847
48313476	47448064
48313684	47447856
48318098	47443442
48323500	47438040
48326858	47434682
48328187	47433353
48328690	47432850
48339763	47421777
48339837	47421703
48340316	47421224
48343435	47418105
48343889	47417651
48347048	47414492
48350213	47411327
